subject,object,predicate
"buildings and their construction, materials, gas heating, cooling, and refrigeration",using high-performance glass in windows,is_inhibited_or_prevented_or_blocked_or_slowed_by
"buildings and their construction, materials, gas heating, cooling, and refrigeration",insulating buildings better,is_inhibited_or_prevented_or_blocked_or_slowed_by
"buildings and their construction, materials, gas heating, cooling, and refrigeration",using high-efficiency heat pumps,is_inhibited_or_prevented_or_blocked_or_slowed_by
"buildings and their construction, materials, gas heating, cooling, and refrigeration",using biogas for cooking,is_inhibited_or_prevented_or_blocked_or_slowed_by
lower stratospheric cooling,warmer air and atmosphere (tropospheric warming),causes_or_promotes
industrial activity,increase in CO2,causes_or_promotes
industrial activity,composting,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,using alternative cement,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,recycling paper,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,using methane digesters,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,recycling,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,using alternative refrigerants,is_inhibited_or_prevented_or_blocked_or_slowed_by
industrial activity,managing refrigerants better,is_inhibited_or_prevented_or_blocked_or_slowed_by
producing electricity via utility-scale solar photovoltaics,greenhouse-gas externality,is_inhibited_or_prevented_or_blocked_or_slowed_by
cattle cow burps,increase in methane (CH4),causes_or_promotes
cattle cow burps,include 1% seaweed in diet for cows cattle,is_inhibited_or_prevented_or_blocked_or_slowed_by
include 1% seaweed in diet for cows cattle,greenhouse-gas externality,is_inhibited_or_prevented_or_blocked_or_slowed_by
"food waste, unhealthy agriculture, and deforestation",increase in CO2,causes_or_promotes
"food waste, unhealthy agriculture, and deforestation",protecting and rewetting peatland,is_inhibited_or_prevented_or_blocked_or_slowed_by
"food waste, unhealthy agriculture, and deforestation",eating lower down the foodchain (plant-rich diets),is_inhibited_or_prevented_or_blocked_or_slowed_by
"food waste, unhealthy agriculture, and deforestation",reducing food waste,is_inhibited_or_prevented_or_blocked_or_slowed_by
fracking leaks,increase in methane (CH4),causes_or_promotes
human population growth,"buildings and their construction, materials, gas heating, cooling, and refrigeration",causes_or_promotes
human population growth,industrial activity,causes_or_promotes
human population growth,"food waste, unhealthy agriculture, and deforestation",causes_or_promotes
human population growth,transporting people and goods,causes_or_promotes
human population growth,burning fossil fuel for electricity production,causes_or_promotes
burning fossil fuel for electricity production,increase in CO2,causes_or_promotes
burning fossil fuel for electricity production,producing electricity via offshore wind turbines,is_inhibited_or_prevented_or_blocked_or_slowed_by
burning fossil fuel for electricity production,producing electricity via distributed solar photovoltaics,is_inhibited_or_prevented_or_blocked_or_slowed_by
burning fossil fuel for electricity production,producing electricity via utility-scale solar photovoltaics,is_inhibited_or_prevented_or_blocked_or_slowed_by
burning fossil fuel for electricity production,switching to LED light bulbs,is_inhibited_or_prevented_or_blocked_or_slowed_by
burning fossil fuel for electricity production,producing electricity via onshore wind turbines,is_inhibited_or_prevented_or_blocked_or_slowed_by
burning fossil fuel for electricity production,producing electricity via concentrated solar power,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,increase in toxic air pollutants (air pollution),causes_or_promotes
transporting people and goods,increase in CO2,causes_or_promotes
transporting people and goods,carpooling,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,making trucks more efficient,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,using electric cars,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,making aviation more efficient,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,making ocean shipping more efficient,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,using public transit,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,using high-speed rail,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,using hybrid cars,is_inhibited_or_prevented_or_blocked_or_slowed_by
transporting people and goods,being telepresent or teleworking,is_inhibited_or_prevented_or_blocked_or_slowed_by
being telepresent or teleworking,greenhouse-gas externality,is_inhibited_or_prevented_or_blocked_or_slowed_by
human population growth,improving health and education,is_inhibited_or_prevented_or_blocked_or_slowed_by
